Sample,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,resource.range,species.specificity.index,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.generality,proportional.similarity,d
GU-S093,24,0.615384615,0.323690345,-0.028179569,0.8,0.796052632,0.394736842,0.172677157,0.018172952,1,0,0,0.032258065,0.007106197,33.68585403,3.050147244,21.11845375,0.584999921,0.534696752,0.140831618
GU-S094,33,0.846153846,0.929724142,-0.002129571,0.233333333,0.73923445,0.157894737,0.137888208,0.044227679,1,0,0,0.032258065,0.02204241,15.03183966,3.280348504,26.58503607,0.736429106,0.66707607,0.106186674
GU-S095,23,0.58974359,3.472977964,0.107520781,0.833333333,0.893362137,0.421052632,0.27180821,0.300433375,1,0,0.002610966,0.032258065,0.122752538,4.60185527,2.591223541,13.3460911,0.369698574,0.478383523,0.355422173
GU-S096,34,0.871794872,2.72660191,0.050782409,0.066666667,0.93956289,0.131578947,0.303989617,0.259652105,1,0,0.046997389,0.032258065,0.057529381,8.963381292,2.832003725,16.97944892,0.470345812,0.548387579,0.289201855
GU-S097,34,0.871794872,2.60651771,0.047250521,0.033333333,0.810855263,0.131578947,0.185793743,0.146612826,1,0,0.140992167,0.032258065,0.067343766,8.931674236,3.109019712,22.39907608,0.620474297,0.606548298,0.174634376
GU-S098,28,0.717948718,0.817935717,-0.006502296,0.566666667,0.83126935,0.289473684,0.224397103,0.057761979,1,0,0,0.032258065,0.025759218,11.16104986,2.893381902,18.05426422,0.50011915,0.527985309,0.175732349
GU-S099,29,0.743589744,2.853435116,0.063911556,0.466666667,0.919045495,0.263157895,0.284019462,0.267775941,1,0,0.044386423,0.032258065,0.088876432,6.782887853,2.695851618,14.81813277,0.410475436,0.51016822,0.31584523
GU-S100,20,0.512820513,0.606234239,-0.019688288,0.933333333,0.944736842,0.5,0.333844105,0.112986379,1,0,0,0.032258065,0.012112648,10.23467692,2.544545467,12.73743719,0.35283832,0.465884498,0.303319356
GU-S102,17,0.435897436,0.166968644,-0.049001844,0.966666667,0.875,0.578947368,0.238974361,0.013761483,1,0,0,0.032258065,0.005223248,29.46763995,2.690828622,14.74388796,0.408418789,0.484929221,0.122483274
GU-S104,27,0.692307692,0.468719494,-0.019677056,0.6,0.742105263,0.315789474,0.153826368,0.025808257,1,0,0,0.032258065,0.010448214,21.4894377,3.14971017,23.32930208,0.646242383,0.612050244,0.130781271
