"degree" "normalised.degree" "species.strength" "interaction.push.pull" "nestedrank" "PDI" "species.specificity.index" "resource.range" "PSI" "node.specialisation.index.NSI" "betweenness" "weighted.betweenness" "closeness" "weighted.closeness" "Fisher.alpha" "partner.diversity" "effective.partners" "proportional.similarity" "proportional.generality" "d"
"PYV" 5 0.555555555555556 0.0990469857278757 -0.180190602854425 0.387096774193548 0.734375 0.392428337406972 0.5 1 1.19354838709677 0.00585333806658063 0 0.0158730158730159 0.00924754310977748 1.87941858668762 1.46490500952916 4.32713218445431 0.596962899050906 0.729571956538926 0.121997202012187
"SCBV" 3 0.333333333333333 0.0361490289895863 -0.321283657003471 0.693548387096774 0.916666666666667 0.608276253029822 0.75 1 1.12903225806452 0.0213829754347678 0 0.0164399092970522 0.0030509003002404 3.16655491100451 0.950270539233235 2.58640928985893 0.198878343399482 0.436079048565233 0.236049275769133
"SCMV" 3 0.333333333333333 0.290083497513838 -0.236638834162054 0.661290322580645 0.8125 0.509901951359278 0.75 1 1.12903225806452 0.0218063210205756 0.0894178192344805 0.0164399092970522 0.0112256708303046 0.829886897102234 1.08518861296765 2.95999806011041 0.154874892148404 0.499067623546266 0.440043653398754
"SPBgV" 6 0.666666666666667 0.076578684270202 -0.153903552621633 0.258064516129032 0.956730769230769 0.716425366749705 0.375 1 1.19354838709677 0.00585333806658063 0 0.0158730158730159 0.0112101978200925 2.08419706560833 0.961664187866481 2.61604644558662 0.515123875261925 0.441075992677128 0.128554621609315
"SPC6V" 6 0.666666666666667 0.0708570913824797 -0.154857151436253 0.306451612903226 0.796875 0.397697454487859 0.375 1 1.09677419354839 0.0135006575361767 0 0.0167233560090703 0.00848319097728114 2.80621793483194 1.53908464242777 4.66032245654837 0.819363983729816 0.785749181626874 0.0322650956774948
"SPCFV" 7 0.777777777777778 0.652629767032716 -0.0496243189953263 0.112903225806452 0.93586387434555 0.632226898481218 0.25 1 1.08064516129032 0.0174733726164508 0.201029269861692 0.0168650793650794 0.017918079644485 1.29295341262495 1.13761658346636 3.1193248477926 0.667554358697242 0.525930763210906 0.149358027417782
"SPCSV" 8 0.888888888888889 0.161788728972108 -0.104776408878486 0.0806451612903226 0.696428571428571 0.306186217847897 0.125 1 1 0.0444431524948502 0 0.0175736961451247 0.00886038931361872 4.20209979465981 1.80257103727576 6.06522134548461 0.693018406672419 1.02262080640018 0.072826307840271
"SPCV" 6 0.666666666666667 0.0835270429915471 -0.152745492834742 0.290322580645161 0.840909090909091 0.456070170039655 0.375 1 1.08064516129032 0.0174733726164508 0 0.0168650793650794 0.00927434398797532 2.50351216109079 1.43166181401646 4.18564918601031 0.620310612597066 0.705717351781849 0.0784306498937813
"SPFMV" 9 1 0.558038544068263 -0.0491068284368596 0 0.85 0.465626103066204 0 1 1 0.0444431524948502 0.235445480862014 0.0175736961451247 0.0169456509790169 2.13253618363323 1.47711400437089 4.38028593565636 0.610747750954826 0.738533893593028 0.131350202528319
"SPGVaV" 5 0.555555555555556 0.101620252111387 -0.179675949577723 0.370967741935484 0.8125 0.444409720865779 0.5 1 1.2258064516129 0.00193125455730114 0 0.0155895691609977 0.0102288563289362 1.71335461844568 1.38740807239908 4.00445732674357 0.64066724187518 0.675167672770637 0.0979644529462901
"SPLCV" 7 0.777777777777778 0.0924224457852126 -0.129653936316398 0.209677419354839 0.928571428571429 0.603022689155527 0.25 1 1.08064516129032 0.0296963379060922 0 0.0168650793650794 0.0105840002061335 2.71746782269786 1.24916574741207 3.48743234407899 0.643096190550893 0.587995173271486 0.0653586198078806
"SPLV" 3 0.333333333333333 0.141555442807294 -0.286148185730902 0.645161290322581 0.909722222222222 0.617975614860259 0.75 1 1.16129032258065 0.0202490986118019 0 0.016156462585034 0.0104385661927746 0.819997135822497 0.906620125837541 2.47594000976037 0.355910267471959 0.417453481935098 0.24867053387121
"SPMMV" 6 0.666666666666667 0.0429110515506481 -0.159514824741559 0.32258064516129 0.84375 0.408248290463863 0.375 1 1.08064516129032 0.0174733726164508 0 0.0168650793650794 0.00484791397099049 7.86690702227445 1.58109375017182 4.86026882501538 0.703432077461413 0.819460946608171 0.0588086899931706
"SPMV" 6 0.666666666666667 0.114601573130587 -0.147566404478235 0.274193548387097 0.807692307692308 0.398862017608733 0.375 1 1.19354838709677 0.00585333806658063 0 0.0158730158730159 0.0106066776747545 2.14599491602848 1.53748509748603 4.6528740199787 0.64059926268727 0.784493345149124 0.09694936310479
"SPPV" 7 0.777777777777778 0.593553433794376 -0.0580637951722319 0.129032258064516 0.943181818181818 0.658326957194678 0.25 1 1.08064516129032 0.0174733726164508 0 0.0168650793650794 0.0177484264718771 1.31088396107958 1.09725576654466 2.99593319261038 0.64554572907679 0.505126431969238 0.14760918543159
"SPSMV-1" 8 0.888888888888889 0.168957987234617 -0.103880251595673 0.0645161290322581 0.642857142857143 0.304290309725092 0.125 1 1 0.0444431524948502 0 0.0175736961451247 0.00943432158143549 3.8399793742714 1.78962715790791 5.98721976264388 0.716166554820567 1.00946942461187 0.0641812748518711
"SPV2" 6 0.666666666666667 0.166359842475651 -0.138940026254058 0.241935483870968 0.85 0.477813546400651 0.375 1 1.08064516129032 0.0174733726164508 0 0.0168650793650794 0.0119607728250897 1.87723590569891 1.3753644542052 3.95651842996629 0.591516981724057 0.667084981226855 0.14327479420308
"SPVC" 9 1 0.551915967269426 -0.0497871147478415 0.0161290322580645 0.840163934426229 0.441274696764095 0 1 1 0.0444431524948502 0.126407204889032 0.0175736961451247 0.0170863432474099 2.1511424569967 1.53020302086941 4.61911450375455 0.645964332933998 0.778801354414024 0.107612869601056
"SPVCV" 5 0.555555555555556 0.0963320780368539 -0.180733584392629 0.354838709677419 0.921875 0.594600955143858 0.5 1 1.2258064516129 0.00193125455730114 0 0.0155895691609977 0.0114861884014288 1.52418473121254 1.15400700344076 3.17087318753768 0.635539036746975 0.534622021411723 0.0876164051870091
"SPVE" 8 0.888888888888889 0.139550415913196 -0.107556198010851 0.0967741935483871 0.78125 0.341665826781202 0.125 1 1.06451612903226 0.0322682203487411 0 0.0170068027210884 0.00844768254977541 4.52249443943401 1.78006040885973 5.93021464527569 0.75692211153816 0.999858131672764 0.0496377681628818
"SPVF" 3 0.333333333333333 0.109827786057294 -0.296724071314235 0.67741935483871 0.95 0.703489842985436 0.75 1 1.16129032258065 0.012410127277649 0 0.016156462585034 0.00400900696876942 1.98881626927183 0.796311640173813 2.21734745227321 0.0910267471958585 0.373853732708555 0.408799027330761
"SPVG" 7 0.777777777777778 0.153487257562629 -0.120930391776767 0.193548387096774 0.764705882352941 0.416496563917521 0.25 1 1.08064516129032 0.0174733726164508 0 0.0168650793650794 0.0123111575182042 2.23480794044224 1.49129174984133 4.44283083993876 0.733910302688806 0.749079216972052 0.0553068031346574
"SPYMV" 7 0.777777777777778 0.142131914150584 -0.122552583692774 0.17741935483871 0.925675675675676 0.595757287146506 0.25 1 1.08064516129032 0.0174733726164508 0 0.0168650793650794 0.0131805321705661 2.0675699396322 1.24009041763653 3.45592592729077 0.704625553881926 0.582683064197885 0.0628722228460528
"ToBV-1" 8 0.888888888888889 0.369434319892687 -0.0788207100134141 0.032258064516129 0.864224137931034 0.46286525643176 0.125 1 1.06451612903226 0.0219801753375392 0.00514634930845931 0.0170068027210884 0.0157238660088143 1.92451498892946 1.49055240525564 4.43954727100613 0.852302141344419 0.748525593993022 0.0309815678230151
"ToLCPaV" 5 0.555555555555556 0.0709115479288856 -0.185817690414223 0.419354838709677 0.85 0.467983188226682 0.5 1 1.01612903225806 0.0390301081964692 0 0.0174319727891156 0.00554594362424727 3.53812148496754 1.3667110520552 3.92242879326861 0.487881402462938 0.6613373308471 0.172140527339096
"TuMV" 2 0.222222222222222 0.0239692001987084 -0.488015399900646 0.838709677419355 0.875 0.661437827766148 0.875 1 1.17741935483871 0.00849121403333894 0 0.0160147392290249 0.00136579752667992 268435505.000009 0.693147180559945 2 0.0832614322691976 0.337208074742894 0.31043712018911
"WMV" 4 0.444444444444444 0.0841561171491893 -0.228960970712703 0.564516129032258 0.791666666666667 0.4375 0.625 1 1.03225806451613 0.0398992264422719 0 0.0172902494331066 0.00440515612680382 3.18361888163792 1.32088834314932 3.74674829750099 0.270923209663503 0.631716889973262 0.273528607872886
"YMV" 4 0.444444444444444 0.0627061237994742 -0.234323469050131 0.5 0.839285714285714 0.494105884401309 0.625 1 1.24193548387097 0.00166851758821497 0 0.0154478458049887 0.00739945851964662 1.71184620777164 1.21231388026715 3.3612531987896 0.494769197584124 0.566720859943616 0.161437425545184
"ZTMV" 2 0.222222222222222 0.0503307448950244 -0.474834627552488 0.790322580645161 0.9375 0.707106781186548 0.875 1 1.19354838709677 0.0223088192159891 0 0.0158730158730159 0.0019770797445791 2.62230229845195 0.636514168294813 1.88988157484231 0.0509059534081104 0.318641663672322 0.416651410518782
